  0.0000000E+000  0.0000000E+000 -0.1442222E-003  0.2884444E-003  0.2884444E-003
  0.0000000E+000  0.2884444E-003  0.1442222E-003  0.2884444E-003  0.2906320E-003
  0.0000000E+000  0.5812640E-003  0.4348542E-003  0.2928196E-003  0.2950390E-003
  0.0000000E+000  0.8785225E-003  0.7298933E-003  0.2972585E-003  0.2995102E-003
  0.0000000E+000  0.1180284E-002  0.1029403E-002  0.3017620E-003  0.3040464E-003
  0.0000000E+000  0.1486615E-002  0.1333450E-002  0.3063309E-003  0.3086485E-003
  0.0000000E+000  0.1797582E-002  0.1642098E-002  0.3109661E-003  0.3133173E-003
  0.0000000E+000  0.2113250E-002  0.1955416E-002  0.3156685E-003  0.3180538E-003
  0.0000000E+000  0.2433689E-002  0.2273470E-002  0.3204390E-003  0.3228587E-003
  0.0000000E+000  0.2758968E-002  0.2596328E-002  0.3252784E-003  0.3277331E-003
  0.0000000E+000  0.3089155E-002  0.2924061E-002  0.3301877E-003  0.3326778E-003
  0.0000000E+000  0.3424323E-002  0.3256739E-002  0.3351678E-003  0.3376936E-003
  0.0000000E+000  0.3764543E-002  0.3594433E-002  0.3402195E-003  0.3427816E-003
  0.0000000E+000  0.4109886E-002  0.3937214E-002  0.3453438E-003  0.3479427E-003
  0.0000000E+000  0.4460428E-002  0.4285157E-002  0.3505417E-003  0.3531778E-003
  0.0000000E+000  0.4816242E-002  0.4638335E-002  0.3558140E-003  0.3584879E-003
  0.0000000E+000  0.5177404E-002  0.4996823E-002  0.3611617E-003  0.3638738E-003
  0.0000000E+000  0.5543990E-002  0.5360697E-002  0.3665859E-003  0.3693366E-003
  0.0000000E+000  0.5916077E-002  0.5730033E-002  0.3720874E-003  0.3748773E-003
  0.0000000E+000  0.6293744E-002  0.6104911E-002  0.3776672E-003  0.3804968E-003
  0.0000000E+000  0.6677070E-002  0.6485407E-002  0.3833263E-003  0.3861961E-003
  0.0000000E+000  0.7066136E-002  0.6871603E-002  0.3890658E-003  0.3919762E-003
  0.0000000E+000  0.7461023E-002  0.7263580E-002  0.3948865E-003  0.3978381E-003
  0.0000000E+000  0.7861812E-002  0.7661418E-002  0.4007896E-003  0.4037828E-003
  0.0000000E+000  0.8268588E-002  0.8065200E-002  0.4067760E-003  0.4098114E-003
  0.0000000E+000  0.8681435E-002  0.8475012E-002  0.4128467E-003  0.4159248E-003
  0.0000000E+000  0.9100438E-002  0.8890937E-002  0.4190029E-003  0.4221242E-003
  0.0000000E+000  0.9525683E-002  0.9313061E-002  0.4252455E-003  0.4284105E-003
  0.0000000E+000  0.9957259E-002  0.9741471E-002  0.4315755E-003  0.4347848E-003
  0.0000000E+000  0.1039525E-001  0.1017626E-001  0.4379941E-003  0.4412482E-003
  0.0000000E+000  0.1083976E-001  0.1061750E-001  0.4445023E-003  0.4478017E-003
  0.0000000E+000  0.1129086E-001  0.1106531E-001  0.4511011E-003  0.4544464E-003
  0.0000000E+000  0.1174865E-001  0.1151975E-001  0.4577917E-003  0.4611834E-003
  0.0000000E+000  0.1221322E-001  0.1198094E-001  0.4645751E-003  0.4680137E-003
  0.0000000E+000  0.1268468E-001  0.1244895E-001  0.4714524E-003  0.4749386E-003
  0.0000000E+000  0.1316310E-001  0.1292389E-001  0.4784247E-003  0.4819590E-003
  0.0000000E+000  0.1364859E-001  0.1340585E-001  0.4854932E-003  0.4890760E-003
  0.0000000E+000  0.1414125E-001  0.1389492E-001  0.4926589E-003  0.4962909E-003
  0.0000000E+000  0.1464118E-001  0.1439121E-001  0.4999229E-003  0.5036046E-003
